cd_fcu;tem_risco;n_setores_risco
13026030160;1;1
13026030162;1;1
13026030163;1;1
13026030164;0;0
13026030165;0;0
13026030166;1;1
13026030167;1;1
13026030169;1;1
13026030170;0;0
13026030171;0;0
13026030172;1;1
13026030174;0;0
13026030175;0;0
13026030176;0;0
13026030177;0;0
13026030178;0;0
13026030179;0;0
13026030181;0;0
13026030182;0;0
13026030183;0;0
13026030184;0;0
13026030185;0;0
13026030186;0;0
13026030187;0;0
13026030188;1;1
13026030189;1;1
13026030190;1;1
13026030191;1;1
13026030192;0;0
13026030193;0;0
13026030194;1;1
13026030195;1;1
13026030197;0;0
13026030198;0;0
13026030199;1;1
13026030201;1;1
13026030202;1;1
13026030203;1;1
13026030204;0;0
13026030205;1;1
13026030206;1;1
13026030207;0;0
13026030208;1;1
13026030209;0;0
13026030210;0;0
13026030211;0;0
13026030212;0;0
13026030213;0;0
13026030214;1;1
13026030215;1;1
13026030216;0;0
13026030217;0;0
13026030219;0;0
13026030220;0;0
13026030221;0;0
13026030222;1;1
13026030223;0;0
13026030225;0;0
13026030227;0;0
13026030229;0;0
13026030232;0;0
13026030234;0;0
13026030236;1;1
13026030237;0;0
13026030239;0;0
13026030240;0;0
13026030242;1;1
13026030243;1;1
13026030244;0;0
13026030245;1;1
13026030248;0;0
13026030249;1;1
13026030250;1;1
13026030251;0;0
13026030252;0;0
13026030253;1;1
13026030254;1;1
13026030256;0;0
13026030257;1;1
13026030258;0;0
13026030259;0;0
13026030261;1;1
13026030262;0;0
13026030263;1;1
13026030264;0;0
13026030265;0;0
13026030266;1;1
13026030267;0;0
13026030268;0;0
13026030270;0;0
13026030271;0;0
13026030272;1;1
13026030274;0;0
13026030275;1;1
13026030276;0;0
13026030279;0;0
13026030280;1;1
13026030281;1;1
13026030282;0;0
13026030283;0;0
13026030284;1;1
13026030285;0;0
13026030286;1;1
13026030289;1;1
13026030290;1;1
13026030291;1;1
13026030292;1;1
13026030293;1;1
13026030295;0;0
13026030298;0;0
13026030300;0;0
13026030301;0;0
13026030303;0;0
13026030304;1;1
13026030305;0;0
13026030306;0;0
13026030308;1;1
13026030309;0;0
13026030311;0;0
13026030314;0;0
13026030318;0;0
13026030319;1;1
13026030320;0;0
13026030321;1;1
13026030322;0;0
13026030323;1;1
13026030324;0;0
13026030325;0;0
13026030327;0;0
13029000001;0;0
13032050002;0;0
13032050003;0;0
13034030001;0;0
13034030002;0;0
13034030004;0;0
13034030005;0;0
13034030006;0;0
13034030007;0;0
13034030008;0;0
13034030009;0;0
13034030011;0;0
13034030013;0;0
13034030020;0;0
13034030021;0;0
13034030022;0;0
13034030025;0;0
13034030026;0;0
13034030027;0;0
13035360001;1;1
13035360002;0;0
13035360003;0;0
13035360005;0;0
13035360006;0;0
13035360007;0;0
13035690001;0;0
13035690005;1;1
13035690008;0;0
13035690009;1;1
13035690010;1;1
13037000001;1;1
13037000002;0;0
13037000003;0;0
13037000004;0;0
13037000005;1;1
13037000006;1;1
13040620001;0;0
13040620002;0;0
13040620003;1;1
13040620004;0;0
13040620008;0;0
13040620011;0;0
13040620012;0;0
13040620013;0;0
13040620014;0;0
13040620015;0;0
13042030003;1;1
13042030004;0;0
13042030005;1;1
13042030006;1;1
13042030007;0;0
13042030008;0;0
13042030009;0;0
13042030010;0;0
13042030011;0;0
13042030013;1;1
13042030014;0;0
13042370001;1;1
13042370002;0;0
13043020001;0;0
13044010001;0;0
13044010002;0;0
13044010003;1;1
14001000001;0;0
14001000003;0;0
14001000004;0;0
14001000005;0;0
14001000009;0;0
14001000012;0;0
14001000013;0;0
14001000017;0;0
14001000018;0;0
14001000019;0;0
15001070001;1;1
15001070002;1;1
15002060001;0;0
15002060002;1;1
15002060003;1;1
15002060004;0;0
15002060005;1;1
15002060006;0;0
15002060007;0;0
15002060008;0;0
15003050001;0;0
15005030001;1;1
15005030002;1;1
15006020001;0;0
15006020006;0;0
15006020008;0;0
15006020009;0;0
15006020010;0;0
15006020011;0;0
15008000001;0;0
15008000002;0;0
15008000004;1;1
15008000006;0;0
15008000007;0;0
15008000008;0;0
15008000009;0;0
15008000010;0;0
15008000011;0;0
15008000013;0;0
15008000014;0;0
15008000016;0;0
15008000017;0;0
15008000018;0;0
15008000019;0;0
15008000020;0;0
15008000021;1;1
15008000022;1;1
15008000023;1;1
15008000024;0;0
15008000025;1;1
15008000026;1;1
15008000028;0;0
15008000029;0;0
15008000030;1;1
15008000032;0;0
15008000033;0;0
15008000034;0;0
15008000035;0;0
15008000036;0;0
15008000037;0;0
15008000038;0;0
15008000039;0;0
15008000040;0;0
15008000041;0;0
15008000042;1;1
15008000043;1;1
15008000044;0;0
15008000045;0;0
15008000046;0;0
15008000047;0;0
15008000048;0;0
15008000049;0;0
15008000050;0;0
15008000051;0;0
15008000052;0;0
15008000053;0;0
15008000054;1;1
15008000055;0;0
15008000057;0;0
15008000058;0;0
15008000059;1;1
15008000060;0;0
15008000061;0;0
15008000062;1;1
15008000063;0;0
15008000064;1;1
15008000065;0;0
15008000066;0;0
15008000069;0;0
15008000070;0;0
15008000071;0;0
15008000072;0;0
15008000074;0;0
15008000075;1;1
15008000076;1;1
15008000077;0;0
15008000078;0;0
15008000079;1;1
15008000080;0;0
15008000081;0;0
15008000082;1;1
15008000083;0;0
15008000084;0;0
15008000085;0;0
15008000086;0;0
15008000087;1;1
15008000089;1;1
15008000091;0;0
15008000092;0;0
15008000093;0;0
15008000094;0;0
15008000096;0;0
15008000097;0;0
15008000098;0;0
15008000099;0;0
15008000100;0;0
15008000101;0;0
15008000103;0;0
15008000104;0;0
15008000105;0;0
15008000106;0;0
15008000107;0;0
15008000108;0;0
15008000109;0;0
15008000110;0;0
15008000111;0;0
15008000112;0;0
15008000113;0;0
15008000114;0;0
15008000115;0;0
15008000117;1;1
15008000118;0;0
15008000119;0;0
15008000120;0;0
15008000121;0;0
15008000122;1;1
15008000123;0;0
15008000124;0;0
15008000125;0;0
15008000126;1;1
15008000127;1;1
15008000128;0;0
15008000129;0;0
15008000136;1;1
15008000137;0;0
15008000138;0;0
15008000139;0;0
15008000140;0;0
15008000141;1;1
15008000142;0;0
15008000143;0;0
15008000144;1;1
15008000145;0;0
15011050001;0;0
15013030001;0;0
15013030002;1;1
15013030003;0;0
15013030004;0;0
15013030005;0;0
15013030006;0;0
15014020001;1;1
15014020002;0;0
15014020003;1;1
15014020004;1;1
15014020005;0;0
15014020006;1;1
15014020007;1;1
15014020008;0;0
15014020010;1;1
15014020011;0;0
15014020013;1;1
15014020022;0;0
15014020023;0;0
15014020024;0;0
15014020025;1;1
15014020026;1;1
15014020027;1;1
15014020028;0;0
15014020029;0;0
15014020030;1;1
15014020031;0;0
15014020032;0;0
15014020033;1;1
15014020035;1;1
15014020036;1;1
15014020037;0;0
15014020038;1;1
15014020039;1;1
15014020040;0;0
15014020041;0;0
15014020042;0;0
15014020043;0;0
15014020044;1;1
15014020045;0;0
15014020046;1;1
15014020047;0;0
15014020048;0;0
15014020049;1;1
15014020050;0;0
15014020051;1;1
15014020052;1;1
15014020053;0;0
15014020054;0;0
15014020055;1;1
15014020056;1;1
15014020057;1;1
15014020058;1;1
15014020059;0;0
15014020060;1;1
15014020061;0;0
15014020062;0;0
15014020063;1;1
15014020064;0;0
15014020065;1;1
15014020066;1;1
15014020067;1;1
15014020068;0;0
15014020069;1;1
15014020070;1;1
15014020071;1;1
15014020072;1;1
15014020073;0;0
15014020075;0;0
15014020076;1;1
15014020077;0;0
15014020078;1;1
15014020079;1;1
15014020080;1;1
15014020081;0;0
15014020082;1;1
15014020083;1;1
15014020084;1;1
15014020085;0;0
15014020087;0;0
15014020089;1;1
15014020090;0;0
15014020091;0;0
15014020092;1;1
15014020093;1;1
15014020094;1;1
15014020095;1;1
15014020096;1;1
15014020097;1;1
15014020098;1;1
15014020099;0;0
15014020100;0;0
15014020102;1;1
15014020103;0;0
15014020104;1;1
15014020105;1;1
15014020106;1;1
15014020107;0;0
15014020108;1;1
15014020109;1;1
15014020110;1;1
15014020111;0;0
15014020112;0;0
15014020113;0;0
15014020114;0;0
15014020115;1;1
15014020116;1;1
15014020117;0;0
15014020118;0;0
15014020119;0;0
15014020120;0;0
15014020121;1;1
15014020122;0;0
15014020123;0;0
15014020124;0;0
15014020125;0;0
15014020126;0;0
15014020127;0;0
15014020128;0;0
15014020130;0;0
15014020131;0;0
15014020132;0;0
15014020133;0;0
15014020134;0;0
15014020135;0;0
15014020136;0;0
15014020137;1;1
15014020138;0;0
15014020139;1;1
15014020140;0;0
15014020141;1;1
15014020142;0;0
15014020143;0;0
15014020145;1;1
15014020146;1;1
15014020147;0;0
15014020148;0;0
15014020149;1;1
15014020150;0;0
15014020151;0;0
15014020152;0;0
15014020153;0;0
15014020154;0;0
15014020155;0;0
15014020156;0;0
15014020157;0;0
15014020158;0;0
15014020159;0;0
15014020160;0;0
15014020161;0;0
15014020162;0;0
15014020163;1;1
15014020164;0;0
15014020165;0;0
15014020167;0;0
15014020168;0;0
15014020169;1;1
15014020171;1;1
15014020172;1;1
15014020173;1;1
15014020174;0;0
15014020175;0;0
15014020176;1;1
15014020177;1;1
15014020178;1;1
15014020179;0;0
15014020180;0;0
15014020181;1;1
15014020182;0;0
15014020183;1;1
15014020184;0;0
15014020185;0;0
15014020186;0;0
15014020187;0;0
15014020188;1;1
15014020189;0;0
15014020190;0;0
15014020191;1;1
15014020192;1;1
15014020193;0;0
15014020194;1;1
15014020195;0;0
15014020196;0;0
15014020197;0;0
15014020198;0;0
15014020199;0;0
15014020200;0;0
15014020201;0;0
15014020202;0;0
15014020203;0;0
15014020204;1;1
15014020205;0;0
15014020206;0;0
15014020207;1;1
15014020208;1;1
15014020209;1;1
15014020210;0;0
15014020212;0;0
15014020213;1;1
15014020215;0;0
15014020216;0;0
15014020217;1;1
15014020218;0;0
15014020219;0;0
15014020220;1;1
15014020221;1;1
15014020222;0;0
15014020223;0;0
15014020224;0;0
15014020225;0;0
15014020226;1;1
15014020227;1;1
15014020228;1;1
15014020229;0;0
15014020230;1;1
15014020231;1;1
15014020232;0;0
15014020233;0;0
15014020234;1;1
15014020235;0;0
15015010001;0;0
15015010002;0;0
15015010003;0;0
