cd_fcu;CMAET60;CMAST60;CMATT60;CMACT60;year;nm_fcu;cd_mun;nm_mun
12001040007;NA;NA;NA;NA;NA;Invasão Nova Esperança;1200104;Brasiléia
12001040008;NA;NA;NA;NA;NA;Invasão 30 de Julho;1200104;Brasiléia
12001040009;NA;NA;NA;NA;NA;Samaúma 1;1200104;Brasiléia
12001040010;NA;NA;NA;NA;NA;Olegário França;1200104;Brasiléia
12002030001;NA;NA;NA;NA;NA;Lagoa;1200203;Cruzeiro do Sul
12002030002;NA;NA;NA;NA;NA;Cruzeirinho;1200203;Cruzeiro do Sul
12002030003;NA;NA;NA;NA;NA;Manoel Terças;1200203;Cruzeiro do Sul
12002030004;NA;NA;NA;NA;NA;Várzea;1200203;Cruzeiro do Sul
12002030005;NA;NA;NA;NA;NA;Miritizal de Cima;1200203;Cruzeiro do Sul
12002030006;NA;NA;NA;NA;NA;Miritizal de Baixo;1200203;Cruzeiro do Sul
12002030008;NA;NA;NA;NA;NA;Cohab;1200203;Cruzeiro do Sul
12002030009;NA;NA;NA;NA;NA;Remanso;1200203;Cruzeiro do Sul
12002030010;NA;NA;NA;NA;NA;Tiro ao alvo;1200203;Cruzeiro do Sul
12002030011;NA;NA;NA;NA;NA;25 de Agosto;1200203;Cruzeiro do Sul
12002030012;NA;NA;NA;NA;NA;João Alves;1200203;Cruzeiro do Sul
12002030013;NA;NA;NA;NA;NA;Saboeiro I;1200203;Cruzeiro do Sul
12002030014;NA;NA;NA;NA;NA;Cruzeirão;1200203;Cruzeiro do Sul
12002030015;NA;NA;NA;NA;NA;Cumarú;1200203;Cruzeiro do Sul
12002030016;NA;NA;NA;NA;NA;Ramal dos Olivenses;1200203;Cruzeiro do Sul
12002030017;NA;NA;NA;NA;NA;Saboeiro II;1200203;Cruzeiro do Sul
12002520001;NA;NA;NA;NA;NA;Aeroporto;1200252;Epitaciolândia
12002520005;NA;NA;NA;NA;NA;Ocupação da Nazinha;1200252;Epitaciolândia
12002520007;NA;NA;NA;NA;NA;Assentamento Bahia;1200252;Epitaciolândia
12002520008;NA;NA;NA;NA;NA;Beira Rio;1200252;Epitaciolândia
12002520009;NA;NA;NA;NA;NA;José Inácio da Silva;1200252;Epitaciolândia
12002520010;NA;NA;NA;NA;NA;Liberdade;1200252;Epitaciolândia
12004010001;NA;NA;NA;NA;NA;Ayrton Senna;1200401;Rio Branco
12004010002;NA;NA;NA;NA;NA;Dom Giocondo;1200401;Rio Branco
12004010004;NA;NA;NA;NA;NA;Preventório;1200401;Rio Branco
12004010005;NA;NA;NA;NA;NA;Baixada da Cadeia Velha;1200401;Rio Branco
12004010006;NA;NA;NA;NA;NA;Taquari;1200401;Rio Branco
12004010007;NA;NA;NA;NA;NA;Triângulo;1200401;Rio Branco
12004010008;NA;NA;NA;NA;NA;Cidade Nova;1200401;Rio Branco
12004010009;NA;NA;NA;NA;NA;06 de Agosto;1200401;Rio Branco
